sentiment,negative_reason,text
positive,,"b""@Mikeggibbs Lol Mike, there is still 48+ hours left of campaigning for #elxn43 ! Neither #YankeeDoodleAndy or #MousyMarshall ( &lt;---- it's them quiet 1s..... ) have yet found the bottom! \xf0\x9f\x98\x8b #Satire #CluckCluck\n#ScheerDisaster \n#onpoli #bcpoli #cdnpoli #ChooseForward \n\nhttps://t.co/jr6qMHFny3 https://t.co/tqdBpTqpT0"""
negative,Tell lies,"b""@MikeMcPickles I'm pretty sure the PPC was set up as a shell party, and set out to attract the kookiest of the CPC base. PPC also seems committed to normalizing extreme right wing ideals. The only people who fell for it are PPC supporters. #OvertonWindow #cdnpoli #elxn43"""
positive,,"b""@MikePMoffatt @bruce_arthur The Sun is owned and operated by a multibillion dollar American hedge fund. It is an American paper. This all fits together quite well. It's not bonkers. It's what you'd expect. #cdnpoli #elxn43 #ChooseForward #KinsellaGate"""
positive,,"b""@mmofcan @paqtasit I've already voted in the advance polls. Now, I'm sure all of you got better things to do, including voting, than dealing with the usual anti-Trudeau BS spewed by the CPC and PPC and their benevolent supporters.\n\n#elxn43 #IStandWithTrudeau"""
positive,,"b""@moistlotus @Sheila_Copps Except that Trudeau is not a racist.\nHis policies are not racist.\nHe's run a government for 4 years that is not racist.\nMLK III  and Obama endorsed Trudeau.\nThey know who is racist, and who is USING racism to fk with our #elxn43\nThe racists are.\nWhite Nationalists.\nFascists."""
negative,Others,"b""@MrMubinShaikh It's so heartwarming that in the midst of this nasty #elxn43, we can all come together and agree that Kinsella is a worm. #KinsellaGate #cdnpoli"""
negative,Scandal,"b""@mtlgazette owned by @postmedianet whose mission is to advance Conservative agenda in Canada. Don't be misled. #cdnpoli #elxn43 @AndrewScheer &amp; @CPC_HQ showing its true tactics today re PPC scandal. Still waiting response from @postmedianet on that. Change of position? https://t.co/qKHZt8xIfR"""
negative,Scandal,"b""@mtlgazette Should news sites really be endorsing candidates? Now everyone will know what you're thinking when you praise Scheer...#elxn43"""
positive,,"b""@NikaDragomira @LACGFY @CarolFosse1 @JordanQuAppelle @AndrewScheer @CPC_HQ he may be ok, but he's also another American, and @JordanQuAppelle is Indigenous and Scheer never bothered to consult them in the past; so I figure if Jordan can get the vote out, the #IndigenousCanadians will have a better voice at the table with him. #votingLiberal #elxn43"""
positive,,"b""@niknanos In QC, it's a two-way race. The Liberals are up 5% on the Bloc but the real surprise is the CPC in 4th. In 2015, the Conservatives won 12 seats with 16.7% of the QC vote, we'll see if they are able to hold on to what they have if they stay at 10% support #cdnpoli #elxn43 https://t.co/E2WQmTmiRY"""
negative,Tell lies,"b""@Norlaine @DAdStanich Everything he says is a lie.  \n\nFigure out which party in your riding has the best chance to beat this far-right party and support them.  \n\nWe don't need a Trump 2.0 here in Canada.\n\n#elxn43 #ScheerLies"""
negative,Tell lies,"b""@NorthPpc @NateWeber13 @AndrewScheer @theJagmeetSingh @JustinTrudeau @kinsellawarren How Trudeauesque Mr Scheer. An obvious 'tell'.\n\n#PeoplesPartyofCanada \n#choosemaxime \n#PPC2019\n#elxn43 \n#cdnelxn2019"""
negative,Others,"b""@now_upside_down #cdnelxn2019 #elxn43 Please retweet, we can't elect this buffoon to another term. https://t.co/owhFJEQSOe"""
negative,Tell lies,"b""@PaulDoroshenko @CBCKatie If someone with @AndrewScheer's lack of education, absence of honesty and dearth of transparency can become PM...\n\n...who can't?\n\n#elxn43 #ScheerGrift"""
positive,,"b""@perfectrose2011 @obinson I'm hoping pretty f*cking low, that's the only way I will win.  Thank my one a true Christian God for Low Information Voters!  #ICannotConfirmNorDeny #elxn43 #cdnpoli"""
negative,Others,"b""@philipkv @FPVaughanIII It's time for @AndrewScheer to accept that he has LOST.\n\nCanadians who value true conservative and libertarian principles need to take a strong look at the principled platform @MaximeBernier is running with @peoplespca. It's been his platform for years now too.\n\n#CdnPoli #elxn43"""
positive,,"b""@pktories @ljbeebe @mikeskinnerptbo @CPC_HQ #VoteSkinner #Kawartha #CPC #Peterborough #cdnpoli #ELXN43 that's my kind of #EDA https://t.co/yi8S6vOdln"""
positive,,"b""@PluginAlberta @jkenney @sonyasavage @OilGasCanada @CanadaAction A Tale Told By the Numbers https://t.co/penZSQc3R6 The cassette industry didn't require wholesale reconstruction of a multi-trillion dollar grid for EVs. #ableg #abpoli #cdnpoli #elxn43"""
negative,Economy,"b""@PluginAlberta @XDeimos @twter_JohnM @GretaThunberg @theAESO @svenskakyrkan @jkenney Here's how 'dead' #coal is worldwide. What regions are booming economically? #ableg #abpoli #cdnpoli #elxn43 https://t.co/bHGNEwjPIz"""
positive,,"b""@PluginAlberta @XDeimos @twter_JohnM @GretaThunberg @theAESO Maybe you've never heard of Bill C-69. https://t.co/BoAVZp3rkE  Or how the world views Canada for investment, now. #ableg #abpoli #cdnpoli #elxn43 https://t.co/m0INJW64ZA"""
positive,,"b""@PluginAlberta @XDeimos @twter_JohnM @GretaThunberg @theAESO Yeah, but we DO use it. And it's #coal. Which is great except we had lots of #coal power before  @svenskakyrkan +BFFs stuck their nose into Alberta's business. https://t.co/aUnizndBHT  #ableg #abpoli #cdnpoli #Elxn43"""
positive,,"b""@politicalham @softgrasswalker @ThatKevinWoron @jkenney OK, I get it. Thanks Markham.\nSo @WBrettWilson \n during an ethical transition to clean energy we need to use less and less 'conventional ff' and\nuse zero high-emission fracked gas, oil or bitumen. \n\n#ClimateStrike #elxn43"""
positive,,"b""@PremierScottMoe And that's why the West needs a Trudeau Liberal MAJORITY. Let's get the job done. #ChooseForwardWithTrudeau to get #TMX completed and get our oil to the Pacific Coast. Progressive Canada wants this.#elxn43"""
negative,Others,"b""@PremierScottMoe Be prepared for more of this, Mr. Premier, because I don't like how the numbers are changing to the satisfaction of the federal NDP &amp; federal Liberals.\n#cdnpoli #elxn43"""
positive,,"b""@r_garrison Really hoping y'all win #elxn43 .  #TurkeyIsNotOurFriend https://t.co/mXKgd1o24C"""
negative,Scandal,"b""@realAndreFulham Oh and, did the cpc or Deloitte counted the ballots then destroyed them to prevent any recount?\n\nHe claims pipeline-ish and meet UN targets\n\nHe's dangerous! Remember the @MichelleRempel non-binding then 180 only 4 days before. \n\nNow same ~immig # than libs\n#PPC2019\n#elxn43"""
negative,Scandal,"b""@Renwick__ @reggcohn If the far-right has control of a PR government, there is something wrong with a country's society--not with the system of government. The same far-right party would likely govern under first-past-the-post. #cdnpoli #elxn43"""
positive,,"b""@Renwick__ @reggcohn You can have several local MPs under proportional representation. If one MP won't help you, another one will. #cdnpoli #elxn43"""
negative,Scandal,"b""@RickRMehta #KinsellaGate is getting pried open now.\n\nWe've known since the start that money had to be backing the coordinated #LibConSmears against the #PeoplesParty.\n\n#cdnpoli #elxn43 \nhttps://t.co/Ni1XRjIgt4"""
positive,,"b""@riklegaree @kidderjohn @ElizabethMay Yes, people need to stop listening to the fear-mongering and propaganda that tells them that the Greens don't have a chance.@CanadianGreens do have a chance, a good chance. If those 30% of voters- especially #Millennials vote, #CanadasGoingGreen! \n#VoteBravely. \n#elxn43 #cdnpoli"""
negative,Scandal,"b""@robbogunovic @now_upside_down  Hey Rob, so the media have made it very clear, it's okay to call you a Nazi but not to report on it. #PPC #elxn43 #CDNmedia"""
positive,,"b""@RobynUrback @hughjarse5 I love how you don't even attempt to deny or refute this. You know it's true.\n\n#fakenews #cdnmedia #cdnpoli #elxn43 #DefundCBC"""
negative,Scandal,"b""@RosieBarton #uspoli #cdnpoli #pnpcbc #UKpolitics #auspol #polcan #eupol #nzpol  #CTVpp #elxn43 Here is the story that Raqqa Rosie doesn't want to tell Canadians about because she rooted for ISIS &amp; al Qaeda terrorists in Syria 24/7 for years! https://t.co/c2MYSmRFRG"""
negative,Scandal,"b""@RosieBarton .@RosieBarton\nYou're merely a paid shill for the #LPC and a serial apologist for .@JustinTrudeau.\nYou're not even trying to hide your bias and .@CBCNews continues it's policy of employing partisan cheerleaders and calling them 'reporters'.\n#WitherJournalism\n\n#elxn43 #CdnPoli"""
negative,Scandal,"b""@RosieBarton @althiaraj Are you concerned over the media's and unions' monopoly of being hired during elections to destroy parties?\n#cdnpoli #elxn43"""
negative,Scandal,"b""@RosieBarton arent you supposed to be a neutral journalist? Why are all of your tweets against the CPC? Guess you've taken yourself out of the running for any future debates etc. Very disappointed in you and the CBC, will certainly not be watching CBC #elxn43 @CBCNews"""
negative,Others,"b""@RosieBarton Knock, Knock!\nWho's there?\nWarren.\nWarren who?\nWarren the guy who's just been bitch slapped by irony.\n\nKinsella &amp; Associates : helping you help your opponents\n\n@kinsellawarren #irony #Karma #elxn43 #polcan https://t.co/WWUCtXsOmI"""
negative,Others,"b""@RosieBarton Only #cdnpoli Scheer could make #PPC's Mad Max seem like a victim. #CPC dudes definitely not ready to govern. #elxn43"""
negative,Scandal,"b""@RosieBarton Question - as I am truly keen to know: at the time you were moderating the debate, did you or did you not know litigation with your name on it was forthcoming?  Also, how's the lawsuit coming? Are you being allowed to cover election night? #cdnpoli #elxn43 #LPC #CPC"""
negative,Women Reproductive right and Racism,"b""@RosieBarton The language the Cons have used around 'the debate' implies that nothing NEW to improve our rights will be done either.  While abortion access/care depends on where you live it is not an accessible right. \n#elxn43 #cdnpoli #CanadaVotes"""
negative,Scandal,"b""@RosieBarton Why are you still reporting? Aren't you embroiled in a lawsuit against the CPC too? Man, I hope they get a landslide &amp; immediately #DefundCBC. Tired of paying through the nose to fund your lazy ass. #Scheer4PM @autoCPC #BlueWave #elxn43"""
positive,,"b""@ruby_whiskers @TrueFactsStated @amys_here my response 2 little @ruby_whiskers' tweet \xf0\x9f\x8f\xbc re Sheila Copps where she uses Copps as a beacon of truth about the brilliant, formidable &amp; GORGEOUS Honorable @Puglaas \n\n@Sheila_Copps is not fit 2 carry water for JWR\nin #elxn43, #cdnpoli or ANY time or place\n\nTrudeau-fantasists!\n\xf0\x9f\x99\x84 https://t.co/xJwKCw7Q4W"""
negative,Women Reproductive right and Racism,"b""@ScheersAndrew @Tsiehta They're so open about it because there are so many racists in Canada that having him as campaign manager is a selling point. #tragic #cdnpoli #elxn43 #ScheerDisaster"""
negative,Economy,"b""@SenatorHousakos @sunlorrie Don't the majority of Canadians work hard, pay taxes, balance their own finances.\n\nHow can so many otherwise responsible people throw out their brains come election time?\n\n#elxn43 #cdnpoli"""
negative,Others,"b""@Sheila_Copps @Puglaas @AndrewScheer https://t.co/Ih51oUIYiz  #Cdnpoli #elxn43  \n\nWasn't he working for the Greens for awhile? Then he's clandestinely working for the Conservatives, but they are ashamed of it. Well, it's all conjecture for now. We do know the he's been a thorn in Trudeau's side for the duration."""
negative,Scandal,"b""@Sheila_Copps @Terrilltf @AndrewScheer @Puglaas Whereas my point: I also see last minute desperate efforts before #elxn43 to further divide individual nations within a nation, @ the last minute, to be a desperate attempt @ having done so little for Indigenous people.\nIm not debating Kinsella. I'm saying your approach is Horrid"""
negative,Separation,"b""@SheilaGunnReid Honestly, let Qu\xc3\xa9bec separate, let Western Canada separate, and let the rest figure it out for themselves so we can put an end to what has always been the failed experiment known as #Canada. We aren't, nor have we ever been unified. #elxn43 #cdnpoli"""
negative,Tell lies,"b""@spencerbennett1 @CBCKatie He was asked 23 times because he didn't answer\n\nShe can't talk policy because they delayed the program til the night before the ballot. Blame #CPC for that.\n\nAnd, if you can't see how hiring liars can affect your political system, don't ask.\n\n#cdnelxn2019 #elxn43 #CBC #Scheerlies"""
negative,Scandal,"b""@spencerbennett1 @CTVNews CTV's bias has turned into CBC's bias and yellow journalism so gradually... you could barely notice. #elxn43 #cdnpoli"""
negative,Others,"b""@StandUp4Brexit No Mr Scheer, this is not a lesson on how Parliament works! So much to learn and so little time! Please complete the remaining modules so that you can write your Insurance Broker's license, since you still make the claim on your website!\n#elxn43 #cdnpoli"""
negative,Scandal,"b""@stphnmaher Gotta say... Hard to believe that Andrew Scheer &amp; the Conservative didn't also hire Warren Kinsella to create all these Fake Scandals attacking Trudeau. Especially since Kinsella promoting these fake scandals on Twitter!\n\n#cdnpoli #elxn43"""
negative,Tell lies,"b""@SuncoastPlace @broxmann This is not unexpected so late in the campaign. With the Con's history to pandering to Que. separatists and the BQ's late-in-the-game resurgence, it is probable the Cons would give up the farm to stay in power &amp; give the BQ anything they want!#cdnpoli #elxn43"""
negative,Tell lies,"b""@Tabbara4KSH @liberal_party We're supposed to believe this? LOL Coming from a party &amp; 'leader' who's main claim to fame is lying! #TrudeauMustGo #elxn43 https://t.co/lsNkDySSWq"""
positive,,"b""@telfordk Instead of fear mongering people who disagree with your views, maybe try to understand where they're coming from. You might be surprised at how much you have in common with them. The world needs more open and honest dialogue maybe try it sometime and tell your leader too #elxn43"""
negative,Others,"b""@ThatGuy79795731 @CPAC_TV @Watson_Ed @GeraldBaier @CanadianGreens You're incorrect. I studied it in university. We knew about this in 1990- even earlier. I read the science then and read it now. The difference is that the tipping point may already have been reached due to feedback loops. #elxn43  #VoteBravely #VoteGreen https://t.co/f22h2bSw5x"""
positive,,"b""@ThatsMrNeil We can't fix Conservatives. They will only change when there is enough pressure from within. That pressure is building and if @AndrewScheer does poorly, there will be a drive to expel the rebels who are driving this toxic policy. That's the optimist in me. #elxn43 #cdnpoli"""
negative,Tell lies,"b""@theJagmeetSingh has bashed @JustinTrudeau through the entire campaign and yet is willing to help him form government? His intentions are the same as Mr.Trudeau... what's best for me? If he had any integrity he wouldn't have brought this up to begin with! #elxn43 #CPC #cdnpoli"""
